Year,m,d,Time,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s),area
2017,1,7,6,8.0,1022.3,94.0,1.4,13.0,-5.8,-6.5,360.0,195.0,14.5,10.4,1
2017,1,7,7,8.0,1021.9,94.0,1.0,15.0,-5.7,-6.5,530.0,197.0,15.7,11.7,1
2017,1,7,8,8.0,1021.3,94.0,0.3,15.0,-5.4,-6.3,1300.0,197.0,15.8,11.2,1
2017,1,7,9,8.0,1020.9,94.0,0.4,15.0,-5.0,-5.7,2120.0,194.0,13.7,9.8,1
2017,1,7,10,8.0,1020.1,94.0,0.7,15.0,-4.5,-5.3,2400.0,192.0,13.3,9.9,1
2017,1,7,11,8.0,1019.1,96.0,0.5,16.0,-3.8,-4.4,2790.0,196.0,12.2,9.8,1
2017,1,7,12,8.0,1018.4,96.0,0.0,16.0,-3.0,-3.6,4130.0,199.0,11.3,8.1,1
2017,1,7,13,8.0,1018.6,96.0,0.0,16.0,-2.2,-2.8,11760.0,213.0,9.1,6.8,1
2017,1,7,14,8.0,1018.8,97.0,0.1,16.0,-2.7,-3.1,5210.0,188.0,5.4,4.2,1
2017,1,7,15,8.0,1018.8,98.0,0.0,16.0,-1.7,-2.1,29410.0,219.0,6.7,5.1,1
2017,1,7,16,8.0,1019.0,98.0,0.0,15.0,-1.6,-1.9,35060.0,218.0,4.7,3.2,1
2017,1,7,17,8.0,1019.4,97.0,0.0,15.0,-1.5,-2.0,23710.0,253.0,4.6,3.4,1
2017,1,7,18,8.0,1019.5,97.0,0.0,15.0,-1.6,-2.1,50000.0,228.0,4.1,2.8,1
2017,1,7,19,8.0,1020.1,97.0,0.0,15.0,-1.8,-2.2,50000.0,245.0,4.8,3.7,1
2017,1,7,20,8.0,1020.4,97.0,0.0,15.0,-1.8,-2.2,50000.0,249.0,4.4,3.7,1
2017,1,7,21,8.0,1020.7,97.0,0.0,15.0,-2.0,-2.4,42640.0,238.0,4.7,3.5,1
2017,1,7,22,8.0,1021.4,98.0,0.0,15.0,-2.1,-2.4,39180.0,266.0,5.9,4.7,1
2017,1,7,23,8.0,1021.8,98.0,0.0,15.0,-2.3,-2.5,4330.0,267.0,4.8,3.3,1
2017,1,8,0,8.0,1022.0,99.0,0.0,16.0,-2.3,-2.4,4730.0,263.0,6.6,4.9,1
2017,1,8,1,8.0,1021.9,99.0,0.0,15.0,-2.4,-2.6,12970.0,254.0,6.2,4.2,1
2017,1,8,2,8.0,1022.2,98.0,0.0,14.0,-2.4,-2.6,1940.0,254.0,4.2,3.4,1
2017,1,8,3,8.0,1022.3,99.0,0.0,15.0,-2.3,-2.5,2640.0,244.0,3.9,3.0,1
2017,1,8,4,8.0,1022.2,99.0,0.0,15.0,-2.0,-2.2,4340.0,270.0,5.1,3.7,1
2017,1,8,5,8.0,1022.2,99.0,0.0,15.0,-1.8,-1.9,2140.0,262.0,4.5,3.1,1
2017,1,8,6,8.0,1022.7,99.0,0.0,15.0,-1.6,-1.7,2220.0,261.0,4.5,3.1,1
2017,1,8,7,8.0,1022.7,99.0,0.0,15.0,-1.5,-1.6,6950.0,273.0,5.5,4.0,1
2017,1,8,8,8.0,1022.9,99.0,0.0,15.0,-1.4,-1.5,8530.0,272.0,4.1,2.9,1
2017,1,8,9,8.0,1022.8,99.0,0.0,15.0,-0.9,-1.0,21860.0,243.0,6.2,4.1,1
2017,1,8,10,8.0,1022.4,99.0,0.0,14.0,-0.7,-0.8,21840.0,248.0,5.7,3.9,1
2017,1,8,11,8.0,1022.1,98.0,0.0,14.0,-1.2,-1.4,45060.0,248.0,6.1,4.5,1
2017,1,8,12,8.0,1021.9,98.0,0.0,14.0,-1.5,-1.8,50000.0,243.0,6.4,4.7,1
2017,1,8,13,8.0,1021.3,98.0,0.0,14.0,-0.8,-1.1,45440.0,255.0,5.2,3.5,1
2017,1,8,14,7.0,1020.7,96.0,0.0,14.0,-0.7,-1.2,48020.0,234.0,5.5,3.9,1
2017,1,8,15,6.0,1020.1,96.0,0.0,14.0,-0.8,-1.3,41030.0,233.0,6.3,4.9,1
2017,1,8,16,7.0,1019.0,92.0,0.0,14.0,-0.5,-1.6,50000.0,230.0,7.0,5.3,1
2017,1,8,17,7.0,1018.3,92.0,0.0,14.0,-0.1,-1.2,50000.0,227.0,7.6,5.3,1
2017,1,8,18,7.0,1017.8,90.0,0.0,14.0,0.6,-0.9,50000.0,238.0,9.8,7.5,1
2017,1,8,19,8.0,1017.5,88.0,0.0,14.0,0.7,-1.1,50000.0,234.0,11.3,8.2,1
2017,1,8,20,8.0,1017.6,88.0,0.0,15.0,0.9,-0.9,50000.0,235.0,10.0,7.3,1
2017,1,8,21,8.0,1017.3,89.0,0.0,15.0,1.0,-0.6,23160.0,236.0,9.3,6.6,1
2017,1,8,22,8.0,1016.9,95.0,0.0,14.0,0.6,-0.1,21240.0,226.0,7.8,5.6,1
2017,1,8,23,8.0,1016.1,95.0,0.0,14.0,0.6,-0.1,49280.0,241.0,7.9,5.7,1
2017,1,9,0,8.0,1015.9,95.0,0.0,15.0,0.4,-0.3,43740.0,255.0,8.7,6.3,1
2017,1,9,1,8.0,1016.0,94.0,0.0,14.0,0.0,-0.9,50000.0,276.0,9.5,6.7,1
2017,1,9,2,8.0,1016.2,95.0,0.0,14.0,-0.5,-1.2,50000.0,266.0,8.4,6.4,1
2017,1,9,3,8.0,1015.9,94.0,0.0,14.0,-0.8,-1.6,50000.0,272.0,8.0,4.9,1
2017,1,9,4,8.0,1015.7,95.0,0.0,14.0,-1.2,-1.8,50000.0,255.0,6.9,5.0,1
2017,1,9,5,8.0,1016.2,96.0,0.0,14.0,-1.3,-1.9,47890.0,265.0,5.0,3.9,1
2017,1,9,6,8.0,1015.7,96.0,0.0,14.0,-1.3,-1.9,48330.0,259.0,6.3,4.8,1
2017,1,9,7,8.0,1015.9,96.0,0.0,14.0,-1.4,-1.9,44470.0,250.0,6.5,4.0,1
2017,1,9,8,8.0,1016.2,96.0,0.0,14.0,-1.3,-1.8,19860.0,244.0,5.9,4.7,1
2017,1,9,9,8.0,1016.0,96.0,0.0,14.0,-0.8,-1.4,25600.0,252.0,7.5,5.4,1
2017,1,9,10,8.0,1016.2,95.0,0.0,14.0,-0.4,-1.1,36580.0,248.0,6.9,5.1,1
2017,1,9,11,8.0,1015.7,96.0,0.0,14.0,-0.3,-1.0,40720.0,245.0,6.3,4.7,1
2017,1,9,12,8.0,1015.3,95.0,0.0,14.0,0.1,-0.6,31790.0,225.0,4.6,3.6,1
2017,1,9,13,8.0,1015.2,95.0,0.0,14.0,0.2,-0.5,43350.0,220.0,7.0,5.0,1
